index,top_ten_hashtags,date
96,"[('COVID19', 88), ('coronavirus', 31), ('covid19', 22), ('COVID__19', 20), ('COVID', 18), ('covid', 14), ('Covid19', 12), ('lockdown', 7), ('covid_19', 7), ('Covid', 6)]",2020-06-24
97,"[('COVID19', 128), ('coronavirus', 42), ('covid19', 22), ('bournemouthbeach', 14), ('COVIDIDIOTS', 11), ('covid', 11), ('NHS', 8), ('lockdown', 7), ('Covid19', 6), ('COVID__19', 6)]",2020-06-25
98,"[('COVID19', 91), ('coronavirus', 29), ('covid19', 25), ('Covid_19', 10), ('test', 8), ('COVID', 8), ('lockdown', 7), ('Covid19', 7), ('FridayThoughts', 7), ('SocialDistancing', 5)]",2020-06-26
99,"[('COVID19', 91), ('coronavirus', 34), ('covid19', 28), ('COVID', 12), ('Covid19', 10), ('lockdown', 8), ('covid', 7), ('StaySafe', 5), ('SocialDistancing', 4), ('Coronavirus', 4)]",2020-06-27
100,"[('COVID19', 72), ('coronavirus', 25), ('Covid19', 24), ('covid19', 12), ('lockdown', 9), ('Covid_19', 9), ('Coronavirus', 8), ('COVID', 7), ('pandemic', 6), ('covid', 6)]",2020-06-28
101,"[('COVID19', 105), ('coronavirus', 30), ('Covid19', 26), ('covid19', 23), ('leicesterlockdown', 19), ('Covid_19', 17), ('lockdown', 13), ('covid', 9), ('COVID', 8), ('Leicester', 8)]",2020-06-29
102,"[('COVID19', 116), ('coronavirus', 31), ('covid19', 24), ('Covid19', 19), ('COVID', 9), ('Leicester', 9), ('covid', 8), ('leicesterlockdown', 8), ('lockdown', 6), ('Covid_19', 6)]",2020-06-30
103,"[('COVID19', 52), ('coronavirus', 45), ('covid19', 29), ('Covid_19', 20), ('Covid19', 12), ('lockdown', 11), ('COVIDー19', 7), ('covid', 7), ('1stJuly', 7), ('Brexit', 6)]",2020-07-01
104,"[('COVID19', 54), ('coronavirus', 36), ('covid19', 23), ('COVIDー19', 12), ('covid', 11), ('LetTheMusicPlay', 10), ('ThankYouNHS', 10), ('Covid19', 9), ('Covid19UK', 8), ('Covid', 6)]",2020-07-02
105,"[('COVID19', 54), ('coronavirus', 42), ('covid19', 32), ('carehomes', 16), ('Covid19', 11), ('covid', 11), ('InfectionControl', 9), ('Health', 9), ('Doctors', 9), ('Warwickshire', 9)]",2020-07-03
106,"[('COVID19', 86), ('coronavirus', 34), ('covid19', 26), ('Covid19', 21), ('lockdown', 13), ('COVID', 10), ('NHS', 9), ('NHSBirthday', 9), ('4thofJuly', 9), ('Covid', 8)]",2020-07-04
107,"[('COVID19', 109), ('coronavirus', 32), ('NHS', 15), ('covid19', 13), ('lockdown', 12), ('NHSBirthday', 12), ('ThankYouNHS', 11), ('ThankYouTogether', 11), ('Covid19', 10), ('NHS72', 9)]",2020-07-05
108,"[('COVID19', 62), ('coronavirus', 29), ('covid19', 27), ('Covid19', 14), ('covid', 11), ('COVID', 9), ('Covid_19', 7), ('lockdown', 6), ('COVID_19', 6), ('Covid', 4)]",2020-07-06
109,"[('COVID19', 77), ('covid19', 23), ('coronavirus', 23), ('COVID', 21), ('Covid19', 17), ('carehome', 15), ('Warwickshire', 9), ('HCAIs', 9), ('Infectioncontrol', 8), ('COVID_19', 8)]",2020-07-07
110,"[('COVID19', 109), ('covid19', 27), ('coronavirus', 26), ('Covid19', 16), ('Coronavirus', 15), ('COVID', 8), ('PMQs', 8), ('nhs', 7), ('cantcomplain', 7), ('GreenRecovery', 7)]",2020-07-08
111,"[('COVID19', 44), ('coronavirus', 33), ('covid19', 24), ('Covid19', 15), ('Covid', 11), ('COVID', 11), ('COVID__19', 9), ('covid', 9), ('StaySafe', 5), ('NHS', 5)]",2020-07-09
112,"[('COVID19', 61), ('coronavirus', 27), ('covid19', 27), ('Covid19', 13), ('COVID__19', 12), ('covid', 11), ('COVID', 10), ('Coronavirus', 8), ('lockdown', 6), ('COVID_19', 5)]",2020-07-10
113,"[('COVID19', 66), ('coronavirus', 29), ('COVID__19', 25), ('covid19', 15), ('Covid19', 12), ('covid', 7), ('BAME', 7), ('Covid', 7), ('lockdown', 7), ('Covid_19', 6)]",2020-07-11
114,"[('COVID19', 47), ('Covid_19', 25), ('coronavirus', 23), ('COVID__19', 19), ('covid19', 15), ('Covid19', 14), ('covid', 12), ('cleaningservices', 7), ('cleaningmotivation', 7), ('home', 7)]",2020-07-12
115,"[('Covid_19', 71), ('COVID19', 53), ('covid19', 14), ('coronavirus', 13), ('covid', 8), ('facemask', 7), ('Covid19', 7), ('facemasks', 5), ('lockdown', 5), ('Coronavirus', 5)]",2020-07-13
116,"[('COVID19', 102), ('Covid_19', 47), ('coronavirus', 43), ('facemask', 28), ('covid19', 23), ('facemasks', 13), ('Covid19', 10), ('StaySafe', 9), ('NHS', 8), ('Covid', 8)]",2020-07-14
